emotion,song_name,artist,spotify_url
happy,Happy,Pharrell Williams,https://open.spotify.com/track/60nZcImufyMA1MKQY3dcCH
happy,Can't Stop the Feeling,Justin Timberlake,https://open.spotify.com/track/6KuQTIu1KoTTkLXKrwlLPV
happy,Uptown Funk,Mark Ronson ft. Bruno Mars,https://open.spotify.com/track/32OlwWuMpZ6b0aN2RZOeMS
happy,Good as Hell,Lizzo,https://open.spotify.com/track/5lC9d4SoZk6piSfiGmVYpA
happy,Levitating,Dua Lipa,https://open.spotify.com/track/463CkQjx2Zk1yXoBuierM9
sad,Someone Like You,Adele,https://open.spotify.com/track/4kflIUSv1zB4DYFM9JKP0K
sad,Let Her Go,Passenger,https://open.spotify.com/track/2YRM2SQzMKOOJ3zaHkPSWg
sad,Fix You,Coldplay,https://open.spotify.com/track/7LVHVU3tWfcxj5aiPFEW4Q
sad,The Night We Met,Lord Huron,https://open.spotify.com/track/3hRV0jL3vUpRrcy398teAU
sad,Skinny Love,Bon Iver,https://open.spotify.com/track/7oAHtaTbOFMqPMsBqRmXlF
angry,Killing in the Name,Rage Against the Machine,https://open.spotify.com/track/59WN2psjkt1tyaxjspN8fp
angry,Break Stuff,Limp Bizkit,https://open.spotify.com/track/5LPoBiVkHBvpDBNKsqWtgp
angry,Given Up,Linkin Park,https://open.spotify.com/track/2nXJosCool5Gq5ByZkM3SZ
angry,Headstrong,Trapt,https://open.spotify.com/track/5EquVy50qlQYOEJqQYtTGp
angry,Bodies,Drowning Pool,https://open.spotify.com/track/3IsOcNGTFOd5sMkCiSgUMr
neutral,Weightless,Marconi Union,https://open.spotify.com/track/7ygpwy2qP3NbrxVkHvUIgJ
neutral,Clair de Lune,Debussy,https://open.spotify.com/track/2LD2gT7gwAurzdQDQtILds
neutral,Comptine d'un autre été,Yann Tiersen,https://open.spotify.com/track/1u8c2t2Cy7UBoG4ArRcF5g
neutral,Experience,Ludovico Einaudi,https://open.spotify.com/track/1BncfTTxOHmFbxmGSUgSEt
neutral,River Flows in You,Yiruma,https://open.spotify.com/track/4oFTGMwBvPlFABFaXQOLbp
surprise,Bohemian Rhapsody,Queen,https://open.spotify.com/track/7tFiyTwD0nx5a1eklYtX2J
surprise,Thunderstruck,AC/DC,https://open.spotify.com/track/57bgtoPSgt236HzfBOd8kj
surprise,Jump,Van Halen,https://open.spotify.com/track/0eFzmHgDTMFSFQpTkz9oLP
surprise,Mr. Brightside,The Killers,https://open.spotify.com/track/7d2D2S200NyUE5KYs80PwO
surprise,Somebody That I Used to Know,Gotye,https://open.spotify.com/track/1qDrWA6lyx8cLECdZE7TV7
fear,Breathe Me,Sia,https://open.spotify.com/track/3oHWAJSKgCf7o4pMTADUCU
fear,Mad World,Gary Jules,https://open.spotify.com/track/3JOVTQ5h8HyvI9p0hDTMIM
fear,Sound of Silence,Simon & Garfunkel,https://open.spotify.com/track/2BE64GzBQwFJaUFBJVMwCT
fear,Hurt,Johnny Cash,https://open.spotify.com/track/28cnXtME493s8LGsEcnFKj
fear,Black,Pearl Jam,https://open.spotify.com/track/4MBHBnJqhABfCkXd9PQIO6
disgust,Creep,Radiohead,https://open.spotify.com/track/70LcF31zb1H0PyJoS1Sx1r
disgust,Fake Plastic Trees,Radiohead,https://open.spotify.com/track/1e7dBaF8FPbDMnrO5V4Tmu
disgust,Loser,Beck,https://open.spotify.com/track/3LF4TZjhFxmPiGa9qdZBBP
disgust,Ironic,Alanis Morissette,https://open.spotify.com/track/1pqSPCKKBFBjKFkMYeGPPh
disgust,Passive,A Perfect Circle,https://open.spotify.com/track/4nE2UzO4HVZD8UXWQXFHFL
